# Charging an 18 cell battery
# Temperatures in this file seem accurate
#
20:23.18 E:  0,B:176,B:21.06V@2.02,D:31.22V@1.45,T:20.8
20:23.28 E:  0,B:177,B:21.15V@2.17,D:31.22V@1.53,T:21.4
20:23.38 E:  0,B:177,B:21.18V@2.05,D:31.22V@1.48,T:21.6
20:23.48 E:  0,B:177,B:21.21V@1.94,D:31.22V@1.39,T:21.7
20:23.58 E:  0,B:178,B:21.30V@2.14,D:31.22V@1.55,T:21.7
20:24.08 E:  0,B:178,B:21.31V@2.07,D:31.22V@1.48,T:21.8
20:24.18 E:  0,B:178,B:21.33V@1.98,D:31.22V@1.43,T:21.8
20:24.28 E:  0,B:178,B:21.33V@1.91,D:31.22V@1.37,T:21.8
20:24.38 E:  0,B:179,B:21.43V@2.13,D:31.22V@1.54,T:21.8
20:24.48 E:  0,B:179,B:21.43V@2.04,D:31.22V@1.51,T:21.8
20:24.58 E:  0,B:179,B:21.45V@2.00,D:31.22V@1.46,T:21.9
20:25.08 E:  0,B:179,B:21.46V@1.95,D:31.22V@1.41,T:21.9
20:25.18 E:  0,B:180,B:21.52V@2.17,D:31.22V@1.59,T:21.9
20:25.28 E:  0,B:180,B:21.54V@2.13,D:31.22V@1.54,T:21.9
20:25.38 E:  0,B:180,B:21.55V@2.05,D:31.22V@1.49,T:21.9
20:25.49 E:  0,B:180,B:21.55V@2.00,D:31.22V@1.48,T:21.9
20:25.59 E:  0,B:180,B:21.55V@1.96,D:31.22V@1.41,T:21.9
20:26.09 E:  0,B:180,B:21.57V@1.94,D:31.22V@1.40,T:21.9
20:26.19 E:  0,B:181,B:21.64V@2.19,D:31.22V@1.59,T:21.9
20:26.29 E:  0,B:181,B:21.65V@2.13,D:31.22V@1.55,T:21.9
20:26.39 E:  0,B:181,B:21.66V@2.09,D:31.22V@1.53,T:21.9
20:26.49 E:  0,B:181,B:21.67V@2.06,D:31.22V@1.50,T:21.9
20:26.59 E:  0,B:181,B:21.67V@2.00,D:31.22V@1.47,T:21.9
20:27.09 E:  0,B:181,B:21.67V@1.97,D:31.22V@1.46,T:21.9
